,title,description,originallink,link,pubDate
26,"송민호, '서울대작전'으로 배우 데뷔...OST도 참여",그룹 <b>위너</b> 멤버 송민호(MINO)가 넷플릭스 영화 &apos;서울대작전&apos;을 통해 배우로 데뷔한다. &apos;서울대작전&apos;은 1988년 아메리칸 드림을 꿈꾸는 상계동 슈프림팀이 거부할 수 없는 제안을 받고 VIP 비자금 수사 작전에 투입되며... ,https://ent.sbs.co.kr/news/article.do?article_id=E10010255978&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/416/0000286529?sid=106,"Tue, 16 Aug 2022 11:14:00 +0900"
27,'서울대작전' 연기 첫 도전 송민호부터 티키타카 오정세까지…명품 라인업,"여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 &apos;서울대작전&apos; 갈치 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라... ",https://www.news1.kr/articles/4773766,https://n.news.naver.com/mnews/article/421/0006279435?sid=106,"Tue, 16 Aug 2022 10:44:00 +0900"
28,‘서울대작전’ 위너 송민호 맞아? 강렬한 배우 신고식,그룹 <b>위너</b> 멤버 송민호(MINO)가 넷플릭스 영화 &apos;서울대작전&apos;을 통해 배우로 데뷔한다. 엔터테인먼트 스트리밍... 그룹 <b>위너</b> 멤버이자 솔로 아티스트 MINO(마이노)로서 성공적인 행보를 이어오는가 하면 다양한 프로그램을... ,https://www.newsen.com/news_view.php?uid=202208161031240410,https://n.news.naver.com/mnews/article/609/0000615660?sid=106,"Tue, 16 Aug 2022 10:38:00 +0900"
29,"세종시 출범 10주년, 요리를 창조하라","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",https://www.inews365.com/news/article.html?no=727404,https://www.inews365.com/news/article.html?no=727404,"Tue, 16 Aug 2022 10:34:00 +0900"
30,"'서울대작전' 문소리·김성균·오정세·정웅인·송민호, 시너지 더할 라인업","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 예능감을 뽐낸 송민호가 &apos;서울대작전&apos; 갈치 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독... ",https://www.xportsnews.com/article/1618159,https://n.news.naver.com/mnews/article/311/0001489008?sid=106,"Tue, 16 Aug 2022 10:34:00 +0900"
31,"'서울대작전' 송민호, 8년만에 첫 연기 도전..유아인에 질투 폭발","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 &apos;서울대작전&apos; 갈치 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라... ",http://www.osen.co.kr/article/G1111920084,https://n.news.naver.com/mnews/article/109/0004679118?sid=106,"Tue, 16 Aug 2022 10:33:00 +0900"
32,"'서울대작전' 문소리·정웅인→송민호, 막강 조연 라인업 공개",개성 넘치는 배우들의 연기 시너지 예고...26일 공개 배우 문소리부터 <b>위너</b> 송민호까지 &apos;서울대작전&apos;을... 문소리 김성균 오정세 정웅인 그리고 <b>위너</b>의 송민호는 개성 넘치는 연기를 예고해 기대감을 높였다. 작품은 1988년... ,http://news.tf.co.kr/read/entertain/1958653.htm,https://n.news.naver.com/mnews/article/629/0000166909?sid=106,"Tue, 16 Aug 2022 10:13:00 +0900"
33,"송민호, 넷플릭스 '서울대작전' 통해 연기 도전...유아인 질투남 찰떡 소화","그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호는 이번 작품을 통해 처음으로 연기에 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독... ",http://www.newsinside.kr/news/articleView.html?idxno=1140352,http://www.newsinside.kr/news/articleView.html?idxno=1140352,"Tue, 16 Aug 2022 10:02:00 +0900"
34,"‘서울대작전’ 문소리→연기 도전 송민호, 초호화 조연 라인업","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 ‘서울대작전’ ‘갈치’ 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한... ",http://www.sportsworldi.com/newsView/20220816506971,https://n.news.naver.com/mnews/article/396/0000621641?sid=106,"Tue, 16 Aug 2022 09:58:00 +0900"
35,"문소리→김성균·송민호, '서울대작전' 완성할 조연 라인업","16일 넷플릭스는 문소리, 김성균, 오정세, 정웅인, 그룹 <b>위너</b> 송민호가 &apos;서울대작전&apos;에 출연한다고 알렸다. &apos;서울대작전&apos;은 1988년, 아메리칸 드림을 꿈꾸는 상계동 슈프림팀이 거부할 수 없는 제안을 받고 VIP 비자금 수사... ",https://www.dailian.co.kr/news/view/1142861/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002630400?sid=106,"Tue, 16 Aug 2022 09:34:00 +0900"
